iShares Core S&P Mid-Cap ETF
Fund Holdings as of,"Aug 22, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"1,534,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,Notional Weight,Market Weight
"EME","EMCOR GROUP INC","EQUITY","Industrials","Equity","888,203,099.52","888,203,099.52","1,455,498.00","610.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.89","0.89"
"IBKR","INTERACTIVE BROKERS GROUP INC CLAS","EQUITY","Financials","Equity","884,412,672.00","884,412,672.00","14,173,280.00","62.40","United States","NASDAQ","USD","1.00","USD","-","0.88","0.88"
"FIX","COMFORT SYSTEMS USA INC","EQUITY","Industrials","Equity","789,125,028.56","789,125,028.56","1,144,522.00","689.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.79","0.79"
"RBA","RB GLOBAL INC","EQUITY","Industrials","Equity","700,824,011.49","700,824,011.49","6,022,377.00","116.37","Canada","New York Stock Exchange Inc.","USD","1.00","USD","-","0.70","0.70"
"FLEX","FLEX LTD","EQUITY","Information Technology","Equity","646,837,895.44","646,837,895.44","12,458,357.00","51.92","United States","NASDAQ","USD","1.00","USD","-","0.65","0.65"
"CASY","CASEYS GENERAL STORES INC","EQUITY","Consumer Staples","Equity","607,459,983.00","607,459,983.00","1,207,050.00","503.26","United States","NASDAQ","USD","1.00","USD","-","0.61","0.61"
"PSTG","PURE STORAGE INC CLASS A","EQUITY","Information Technology","Equity","589,521,302.81","589,521,302.81","10,106,657.00","58.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.59","0.59"
"CW","CURTISS WRIGHT CORP","EQUITY","Industrials","Equity","589,465,320.54","589,465,320.54","1,225,678.00","480.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.59","0.59"
"USFD","US FOODS HOLDING CORP","EQUITY","Consumer Staples","Equity","587,355,663.43","587,355,663.43","7,523,449.00","78.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.59","0.59"
"GWRE","GUIDEWIRE SOFTWARE INC","EQUITY","Information Technology","Equity","583,712,292.45","583,712,292.45","2,727,755.00","213.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.58","0.58"
"BURL","BURLINGTON STORES INC","EQUITY","Consumer Discretionary","Equity","575,277,991.96","575,277,991.96","2,048,419.00","280.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.57","0.58"
"SGI","SOMNIGROUP INTERNATIONAL INC","EQUITY","Consumer Discretionary","Equity","562,670,378.55","562,670,378.55","6,715,245.00","83.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.56","0.56"
"CSL","CARLISLE COMPANIES INC","EQUITY","Industrials","Equity","557,920,994.28","557,920,994.28","1,403,363.00","397.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.56","0.56"
"THC","TENET HEALTHCARE CORP","EQUITY","Health Care","Equity","542,202,008.00","542,202,008.00","3,020,624.00","179.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.54","0.54"
"RPM","RPM INTERNATIONAL INC","EQUITY","Materials","Equity","532,772,121.84","532,772,121.84","4,176,312.00","127.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.53","0.53"
"ACM","AECOM","EQUITY","Industrials","Equity","529,101,896.18","529,101,896.18","4,302,341.00","122.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.53","0.53"
"TWLO","TWILIO INC CLASS A","EQUITY","Information Technology","Equity","528,169,891.68","528,169,891.68","4,964,936.00","106.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.53","0.53"
"XPO","XPO INC","EQUITY","Industrials","Equity","526,387,231.80","526,387,231.80","3,831,057.00","137.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.53","0.53"
"ILMN","ILLUMINA INC","EQUITY","Health Care","Equity","524,051,028.20","524,051,028.20","5,147,849.00","101.80","United States","NASDAQ","USD","1.00","USD","-","0.52","0.52"
"PFGC","PERFORMANCE FOOD GROUP","EQUITY","Consumer Staples","Equity","517,301,070.78","517,301,070.78","5,076,058.00","101.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.52","0.52"
"FNF","FIDELITY NATIONAL FINANCIAL INC","EQUITY","Financials","Equity","516,033,493.64","516,033,493.64","8,484,602.00","60.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.52","0.52"
"RS","RELIANCE STEEL & ALUMINUM","EQUITY","Materials","Equity","503,696,977.56","503,696,977.56","1,710,114.00","294.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.50","0.50"
"OKTA","OKTA INC CLASS A","EQUITY","Information Technology","Equity","500,381,406.70","500,381,406.70","5,435,974.00","92.05","United States","NASDAQ","USD","1.00","USD","-","0.50","0.50"
"DOCU","DOCUSIGN INC","EQUITY","Information Technology","Equity","492,646,068.57","492,646,068.57","6,585,297.00","74.81","United States","NASDAQ","USD","1.00","USD","-","0.49","0.49"
"BWXT","BWX TECHNOLOGIES INC","EQUITY","Industrials","Equity","484,542,510.17","484,542,510.17","2,971,013.00","163.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.48","0.48"
