iShares S&P 500 Value ETF
Fund Holdings as of,"Aug 22, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"201,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","2,958,431,124.48","7.19","2,958,431,124.48","12,989,248.00","227.76","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","2,914,368,585.65","7.08","2,914,368,585.65","5,745,655.00","507.23","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","1,462,538,408.64","3.55","1,462,538,408.64","6,391,096.00","228.84","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","772,422,633.84","1.88","772,422,633.84","6,941,253.00","111.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","736,506,372.00","1.79","736,506,372.00","1,506,148.00","489.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","694,745,881.36","1.69","694,745,881.36","3,874,984.00","179.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","599,119,355.61","1.46","599,119,355.61","3,775,883.00","158.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","570,133,431.84","1.38","570,133,431.84","1,924,566.00","296.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","522,171,247.44","1.27","522,171,247.44","10,553,178.00","49.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","488,554,273.46","1.19","488,554,273.46","3,088,597.00","158.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","449,124,941.58","1.09","449,124,941.58","1,460,949.00","307.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","438,067,158.48","1.06","438,067,158.48","2,611,273.00","167.76","United States","NASDAQ","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","437,501,376.42","1.06","437,501,376.42","6,238,434.00","70.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","431,321,932.80","1.05","431,321,932.80","6,407,040.00","67.32","United States","NASDAQ","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","414,552,105.10","1.01","414,552,105.10","5,240,861.00","79.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","371,517,842.95","0.90","371,517,842.95","2,802,005.00","132.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","370,026,607.16","0.90","370,026,607.16","896,404.00","412.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","366,615,329.96","0.89","366,615,329.96","494,164.00","741.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","365,155,953.68","0.89","365,155,953.68","758,104.00","481.67","United States","NASDAQ","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","361,670,449.20","0.88","361,670,449.20","1,151,560.00","314.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","353,326,027.40","0.86","353,326,027.40","4,044,020.00","87.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","347,485,998.60","0.84","347,485,998.60","1,649,981.00","210.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
