iShares S&P 500 Growth ETF
Fund Holdings as of,"Aug 22, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"549,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","9,332,333,768.13","14.78","9,332,333,768.13","52,431,787.00","177.99","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","4,214,751,093.27","6.68","4,214,751,093.27","8,309,349.00","507.23","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","3,523,237,444.02","5.58","3,523,237,444.02","4,667,838.00","754.79","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","3,364,270,291.20","5.33","3,364,270,291.20","14,771,120.00","227.76","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","2,972,020,422.00","4.71","2,972,020,422.00","10,108,913.00","294.00","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","2,696,196,541.44","4.27","2,696,196,541.44","11,782,016.00","228.84","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","2,578,732,862.86","4.09","2,578,732,862.86","12,512,654.00","206.09","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","2,086,509,715.20","3.31","2,086,509,715.20","10,093,410.00","206.72","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","2,048,433,086.26","3.25","2,048,433,086.26","6,024,626.00","340.01","United States","NASDAQ","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","1,287,627,390.60","2.04","1,287,627,390.60","3,678,515.00","350.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","1,203,584,675.84","1.91","1,203,584,675.84","1,691,188.00","711.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
